name,price,link
"SAKO .308 WIN. 235A SUPER HAMMERHEAD 9,7G",2.40 €,https://www.jahipaun.ee/en/online-shop/toode/ammo/rifle/sako/sako-308-win-235a-super-hammerhead-97g-_y4gmku/
"NORMA VULKAN 7x65 R 11,0 G",2.40 €,https://www.jahipaun.ee/en/online-shop/toode/ammo/rifle/norma/norma-vulkan-7x65-r-110-g-_utue2z/
"SAKO .308 WIN. 256A HAMMERHEAD 11,7 G",2.40 €,https://www.jahipaun.ee/en/online-shop/toode/ammo/rifle/sako/sako-308-win-256a-hammerhead-117-g-_8mmnwo/
"SAKO .308 WIN. 236A SUPER HAMMERHEAD 11,7 G",2.40 €,https://www.jahipaun.ee/en/online-shop/toode/ammo/rifle/sako/sako-308-win-236a-super-hammerhead-117-g-_kdfmcv/
"NORMA ORYX 6,5x55 SE 10,1 G",2.42 €,https://www.jahipaun.ee/en/online-shop/toode/ammo/rifle/norma/norma-oryx-65x55-se-101-g-_uj8dwg/
"S&B 7MM REM. MAG. SPCE 11,2 G",2.44 €,https://www.jahipaun.ee/en/online-shop/toode/ammo/rifle/sellierandbellot/sb-7mm-rem-mag-spce-112-g-_09d71b/
"LAPUA 6,5x55 SE SP MEGA 10,1G",2.44 €,https://www.jahipaun.ee/en/online-shop/toode/ammo/rifle/lapua/lapua-65x55-se-sp-mega-101g-_bnvlla/
"SAKO .30-06 SPR. 228A HAMMERHEAD 14,3 G",2.45 €,https://www.jahipaun.ee/en/online-shop/toode/ammo/rifle/sako/sako-30-06-spr-228a-hammerhead-143-g-_wvtpgh/
"SAKO .30-06 SPR. 235A SUPER HAMMERHEAD 9,7 G",2.45 €,https://www.jahipaun.ee/en/online-shop/toode/ammo/rifle/sako/sako-30-06-spr-235a-super-hammerhead-97-g-_6mem4w/
"SAKO .30-06 SPR. 256A HAMMERHEAD 11,7 G",2.45 €,https://www.jahipaun.ee/en/online-shop/toode/ammo/rifle/sako/sako-30-06-spr-256a-hammerhead-117-g-_amupog/
"SAKO .30-06 SPR. 236A SUPER HAMMERHEAD 11,7 G",2.45 €,https://www.jahipaun.ee/en/online-shop/toode/ammo/rifle/sako/sako-30-06-spr-236a-super-hammerhead-117-g-_svdlwx/
